Condition,Description,FK_OrderID,FK_SupplierID,ProductID,ProductName,Price,Quantity
Used - Acceptable,Lightweight sleeping bag,200154,500147,300336,Sleeping Bag,2639.61,15
Used - Like New,Premium cast iron skillet,200681,500155,300337,Cast Iron Skillet,1115.22,13
Open Box,Durable cargo pants,200092,500242,300338,Cargo Pants,2344.76,20
Certified Refurbished,Luxurious bathrobe,200112,500160,300339,Bathrobe,2989.72,4
Used - Like New,Travel-sized toiletries kit,200447,500204,300340,Toiletries Kit,1558.31,18
Used - Like New,Heavy-duty bike lock,200058,500172,300341,Bike Lock,1999.68,12
Pre-Owned,Portable camping stove,200455,500026,300342,Camping Stove,644.71,3
Certified Refurbished,Advanced car vacuum cleaner,200530,500040,300343,Car Vacuum,1956.12,17
Used - Like New,Compact coffee grinder,200631,500060,300344,Coffee Grinder,1256.11,18
Refurbished,Elegant tea set,200372,500242,300345,Tea Set,2383.46,3
Used - Very Good,Modern smartphone stand,200005,500229,300346,Smartphone Stand,2495.73,10
Refurbished,Reusable food storage bags,200122,500146,300347,Food Storage Bags,1053.32,5
Certified Refurbished,Premium quality umbrella,200341,500128,300348,Umbrella,1735.28,12
New,Ultra-light hiking tent,200024,500256,300349,Hiking Tent,129.03,1
Used - Very Good,Stylish beach hat,200439,500154,300350,Beach Hat,2568.32,18
Used - Good,Durable work gloves,200022,500155,300351,Work Gloves,1504.88,7
Used - Very Good,Advanced video doorbell,200044,500143,300352,Video Doorbell,1177.98,15
Used - Like New,Space-saving shoe organizer,200479,500226,300353,Shoe Organizer,243.12,8
New,Portable electric kettle,200162,500090,300354,Electric Kettle,2988.31,20
Certified Refurbished,Soft sherpa fleece blanket,200585,500029,300355,Sherpa Fleece Blanket,2926.80,4
Used - Like New,Sophisticated whiskey glasses,200060,500288,300356,Whiskey Glasses,282.85,11
Used - Good,Eco-friendly reusable straws,200795,500112,300357,Reusable Straws,2423.89,20
Certified Refurbished,Lightweight portable hammock,200530,500045,300358,Portable Hammock,580.58,9
New,Minimalist desk organizer,200723,500207,300359,Desk Organizer,365.82,8
Pre-Owned,Advanced robotic vacuum,200496,500021,300360,Robotic Vacuum,857.83,8
New,Sturdy wall-mounted shelf,200690,500094,300361,Wall Shelf,456.67,10
Used - Very Good,Portable projector,200678,500016,300362,Portable Projector,318.80,10
New,Soft travel neck pillow,200252,500142,300363,Travel Neck Pillow,1070.12,3
Open Box,Foldable picnic blanket,200117,500277,300364,Picnic Blanket,1303.85,13
Pre-Owned,Digital meat thermometer,200502,500272,300365,Meat Thermometer,864.60,19
Used - Good,Rechargeable book light,200149,500074,300366,Book Light,741.25,20
Open Box,Elegant leather handbag,200274,500065,300367,Leather Handbag,2501.50,3
Used - Very Good,Durable hiking boots,200767,500038,300368,Hiking Boots,2113.93,11
Refurbished,Comfortable wool socks,200144,500183,300369,Wool Socks,2814.98,20
New,Stylish denim jacket,200273,500194,300370,Denim Jacket,1099.75,7
Used - Good,Compact photo printer,200709,500008,300371,Photo Printer,2074.98,9
Used - Very Good,Adjustable resistance bands,200528,500136,300372,Resistance Bands,2703.23,11
Open Box,Premium cotton duvet cover,200375,500187,300373,Cotton Duvet Cover,1064.03,4
Certified Refurbished,Versatile multi-tool,200056,500167,300374,Multi-Tool,1370.19,3
Open Box,Modern floor lamp,200599,500147,300375,Floor Lamp,2397.02,1
Used - Acceptable,Luxurious cashmere scarf,200571,500027,300376,Cashmere Scarf,830.51,2
Used - Very Good,Portable espresso machine,200697,500055,300377,Espresso Machine,2736.83,16
New,Waterproof action camera,200615,500024,300378,Action Camera,1051.59,14
Open Box,Compact air purifier,200284,500285,300379,Air Purifier,1058.72,1
New,Durable bike helmet,200476,500285,300380,Bike Helmet,518.72,19
Used - Acceptable,Soft bamboo sheets,200035,500218,300381,Bamboo Sheets,2728.96,18
Pre-Owned,High-performance gym bag,200220,500288,300382,Gym Bag,2797.45,8
Used - Very Good,Advanced hair dryer,200373,500276,300383,Hair Dryer,1731.05,18
New,Energy-efficient space heater,200247,500073,300384,Space Heater,1490.39,13
Used - Good,Sophisticated cocktail shaker,200049,500217,300385,Cocktail Shaker,1505.15,20
New,Eco-friendly laundry detergent,200546,500103,300386,Laundry Detergent,1669.62,9
Used - Good,Durable BBQ grill cover,200147,500132,300387,BBQ Grill Cover,428.49,5
Used - Very Good,Compact spice rack,200418,500126,300388,Spice Rack,2843.07,16
Refurbished,Stylish patio furniture,200048,500078,300389,Patio Furniture,2969.12,5
Pre-Owned,Premium soundbar speaker,200238,500093,300390,Soundbar,1143.67,18
Used - Good,Advanced pet grooming kit,200776,500064,300391,Pet Grooming Kit,1597.46,7
Open Box,High-quality baby stroller,200051,500146,300392,Baby Stroller,53.44,6
Used - Very Good,Elegant dining table set,200015,500122,300393,Dining Table Set,227.01,8
Certified Refurbished,Soft organic baby blanket,200500,500294,300394,Baby Blanket,1444.44,9
Pre-Owned,Lightweight power drill,200381,500295,300395,Power Drill,493.87,16
Refurbished,Heavy-duty dog leash,200518,500023,300396,Dog Leash,596.35,9
Refurbished,Minimalist table clock,200680,500291,300397,Table Clock,2503.10,6
Open Box,Advanced gaming keyboard,200516,500125,300398,Gaming Keyboard,2063.19,13
Certified Refurbished,Foldable treadmill,200189,500035,300399,Treadmill,725.85,2
Used - Like New,Multi-functional waffle maker,200612,500087,300400,Waffle Maker,1878.83,18
Used - Acceptable,Premium travel pillow,200619,500156,300401,Travel Pillow,895.16,6
Certified Refurbished,Durable outdoor jacket,200053,500200,300402,Outdoor Jacket,1388.55,19
New,Adjustable TV wall mount,200136,500205,300403,TV Wall Mount,931.25,13
Certified Refurbished,Waterproof travel bag,200686,500228,300404,Travel Bag,1989.41,15
Used - Good,High-speed internet router,200495,500011,300405,Internet Router,1916.76,17
Open Box,Space-saving closet organizer,200115,500029,300406,Closet Organizer,1053.71,16
Used - Acceptable,Advanced sewing kit,200242,500114,300407,Sewing Kit,2868.33,7
Used - Good,Modern ergonomic sofa,200560,500218,300408,Ergonomic Sofa,1088.88,18
Refurbished,Luxurious showerhead,200109,500219,300409,Showerhead,2194.10,4
Open Box,Durable cooler bag,200334,500241,300410,Cooler Bag,1006.80,15
Certified Refurbished,Elegant bathroom mirror,200008,500225,300411,Bathroom Mirror,1216.67,8
Used - Like New,Premium leather briefcase,200192,500116,300412,Leather Briefcase,1123.93,5
Open Box,Comfortable hiking sandals,200029,500109,300413,Hiking Sandals,2419.26,17
Used - Acceptable,Soft wool blanket,200263,500039,300414,Wool Blanket,2059.19,18
Used - Acceptable,Portable massage gun,200371,500199,300415,Massage Gun,912.51,17
Used - Good,Rechargeable lantern,200677,500286,300416,Lantern,2623.65,5
Used - Like New,Sophisticated wine opener,200288,500107,300417,Wine Opener,624.55,7
Used - Good,Adjustable book stand,200272,500284,300418,Book Stand,743.82,3
Used - Good,Premium stainless steel straws,200139,500139,300419,Stainless Steel Straws,1576.08,15
Used - Acceptable,Lightweight trekking poles,200538,500053,300420,Trekking Poles,2638.26,1
Certified Refurbished,Versatile garment steamer,200223,500017,300421,Garment Steamer,2235.91,14
Used - Good,High-quality bread machine,200290,500239,300422,Bread Machine,1202.65,3
Used - Very Good,Durable camping table,200339,500103,300423,Camping Table,1597.73,8
Used - Good,Elegant table lamp,200180,500228,300424,Table Lamp,1552.95,5
Pre-Owned,Portable laptop desk,200268,500000,300425,Laptop Desk,638.05,18
Used - Like New,Premium pet bed,200643,500186,300426,Pet Bed,2951.83,15
Certified Refurbished,Soft weighted blanket,200069,500229,300427,Weighted Blanket,2694.18,2
Used - Very Good,Compact portable fan,200615,500004,300428,Portable Fan,323.60,15
Open Box,Waterproof Bluetooth speaker,200158,500186,300429,Bluetooth Speaker,2708.04,2
Pre-Owned,Energy-efficient air conditioner,200207,500003,300430,Air Conditioner,2893.44,3
Refurbished,Minimalist bedside table,200088,500191,300431,Bedside Table,126.19,20
Used - Acceptable,Adjustable bed frame,200043,500024,300432,Bed Frame,2842.91,2
Used - Like New,Space-saving laundry basket,200635,500224,300433,Laundry Basket,2877.77,17
New,Advanced power inverter,200627,500159,300434,Power Inverter,2640.94,4
Used - Acceptable,Heavy-duty snow shovel,200450,500018,300435,Snow Shovel,1249.77,2
Used - Very Good,Comfortable sleeping pad,200653,500190,300436,Sleeping Pad,1306.99,6
Open Box,Luxurious face moisturizer,200427,500201,300437,Face Moisturizer,309.07,17
Used - Like New,Versatile folding bike,200510,500244,300438,Folding Bike,2537.86,20
New,High-quality juicer,200666,500030,300439,Juicer,964.10,5
Used - Very Good,Stylish leather phone case,200271,500261,300440,Phone Case,1544.77,18
Used - Like New,Compact makeup mirror,200709,500142,300441,Makeup Mirror,1104.23,18
Pre-Owned,Durable hiking backpack,200580,500199,300442,Hiking Backpack,2002.38,9
Used - Good,Lightweight garden pruner,200530,500203,300443,Garden Pruner,1743.73,17
Used - Acceptable,Advanced home security camera,200157,500202,300444,Home Security Camera,2170.30,1
New,Minimalist floating shelf,200111,500070,300445,Floating Shelf,2144.85,15
Pre-Owned,Premium smart thermostat,200020,500110,300446,Smart Thermostat,1437.64,6
Used - Very Good,Soft merino wool sweater,200739,500060,300447,Wool Sweater,412.71,18
Pre-Owned,Portable induction cooktop,200054,500007,300448,Induction Cooktop,2222.92,15
Used - Acceptable,Adjustable baby carrier,200502,500077,300449,Baby Carrier,509.14,7
Used - Good,Stylish leather belt,200059,500051,300450,Leather Belt,371.39,3
Used - Acceptable,Rechargeable hand blender,200018,500043,300451,Hand Blender,1934.56,2
Used - Acceptable,Durable running shoes,200502,500245,300452,Running Shoes,2398.27,11
New,Waterproof camera case,200297,500081,300453,Camera Case,2742.76,3
Used - Good,Elegant crystal wine glasses,200123,500091,300454,Crystal Wine Glasses,1945.61,14
New,Comfortable bean bag chair,200519,500151,300455,Bean Bag Chair,1408.41,16
Used - Good,Sophisticated dinnerware set,200728,500254,300456,Dinnerware Set,2321.56,4
Used - Acceptable,Compact tool organizer,200744,500105,300457,Tool Organizer,1247.41,14
Used - Like New,High-speed electric scooter,200130,500070,300458,Electric Scooter,1089.61,16
Pre-Owned,Advanced programmable coffee maker,200558,500017,300459,Coffee Maker,2938.80,6
New,Premium glass storage containers,200351,500285,300460,Storage Containers,305.57,1
Used - Acceptable,Lightweight travel backpack,200333,500012,300461,Travel Backpack,2460.08,7
Pre-Owned,Minimalist desktop clock,200256,500010,300462,Desktop Clock,2619.74,7
Used - Very Good,Foldable yoga mat,200643,500058,300463,Yoga Mat,1675.53,9
Used - Like New,Durable camping tent,200262,500185,300464,Camping Tent,2332.99,12
Pre-Owned,Portable solar charger,200147,500036,300465,Solar Charger,1931.40,19
Open Box,Soft flannel sheets,200130,500164,300466,Flannel Sheets,724.46,17
Used - Very Good,Adjustable shower caddy,200084,500256,300467,Shower Caddy,1368.34,16
New,Heavy-duty storage box,200652,500265,300468,Storage Box,2594.10,14
Open Box,Stylish wool fedora,200278,500162,300469,Wool Fedora,1161.92,16
Pre-Owned,High-quality garden gloves,200527,500106,300470,Garden Gloves,140.63,1
Used - Very Good,Eco-friendly compost bin,200213,500100,300471,Compost Bin,2974.40,17
Used - Like New,Elegant silver bracelet,200159,500198,300472,Silver Bracelet,1224.70,10
New,Portable handheld vacuum,200069,500057,300473,Handheld Vacuum,801.33,11
New,Waterproof bike panniers,200510,500238,300474,Bike Panniers,2873.63,9
Used - Like New,Comfortable lounge chair,200701,500112,300475,Lounge Chair,1392.04,15
Open Box,Premium silk pillowcase,200562,500268,300476,Silk Pillowcase,2066.04,20
Used - Like New,Compact air mattress,200589,500258,300477,Air Mattress,1988.57,13
Certified Refurbished,Versatile camping lantern,200678,500013,300478,Camping Lantern,1582.13,17
Used - Acceptable,Advanced fitness tracker,200796,500062,300479,Fitness Tracker,1187.68,17
Refurbished,Durable garden rake,200516,500198,300480,Garden Rake,1080.56,4
Certified Refurbished,Modern home theater system,200217,500213,300481,Home Theater System,1396.32,2
Certified Refurbished,Lightweight utility cart,200159,500068,300482,Utility Cart,2318.23,11
Used - Good,Adjustable pet gate,200622,500111,300483,Pet Gate,285.62,17
Used - Like New,Elegant pearl necklace,200252,500273,300484,Pearl Necklace,1944.97,2
New,High-speed USB hub,200241,500190,300485,USB Hub,1425.31,7
Certified Refurbished,Premium Bluetooth soundbar,200307,500002,300486,Bluetooth Soundbar,2008.29,15
Certified Refurbished,Stylish leather gloves,200558,500270,300487,Leather Gloves,53.83,9
Certified Refurbished,Heavy-duty extension cord,200739,500000,300488,Extension Cord,1245.77,19
New,Portable picnic cooler,200603,500214,300489,Picnic Cooler,1073.01,5
Refurbished,Sophisticated travel wallet,200627,500180,300490,Travel Wallet,1168.37,16
Used - Very Good,Lightweight stroller,200671,500019,300491,Stroller,1083.48,12
New,Durable pet playpen,200028,500272,300492,Pet Playpen,1098.10,15
Used - Good,Compact tool belt,200179,500282,300493,Tool Belt,1486.77,1
Used - Good,Luxurious facial cleanser,200168,500030,300494,Facial Cleanser,2584.64,9
Refurbished,Waterproof hiking shoes,200398,500171,300495,Hiking Shoes,2134.78,1
Used - Good,Space-saving drying rack,200261,500299,300496,Drying Rack,1019.06,4
Open Box,Advanced smart door lock,200661,500110,300497,Smart Door Lock,1143.14,5
Used - Very Good,Soft hypoallergenic comforter,200460,500098,300498,Comforter,2233.21,15
Used - Good,Portable water filter,200773,500036,300499,Water Filter,932.95,16
Open Box,High-quality dog bed,200534,500089,300500,Dog Bed,668.95,9
Pre-Owned,Modern cordless vacuum,200550,500232,300501,Cordless Vacuum,2753.49,13
Refurbished,Comfortable walking shoes,200157,500131,300502,Walking Shoes,185.99,14
Used - Like New,Elegant copper cookware,200588,500060,300503,Copper Cookware,2608.81,19
Open Box,Minimalist photo frame,200361,500233,300504,Photo Frame,832.13,2
New,Durable weatherproof jacket,200662,500169,300505,Weatherproof Jacket,864.92,16
Used - Good,Versatile multi-cooker,200291,500144,300506,Multi-Cooker,2710.89,9
Used - Very Good,Adjustable dumbbell set,200563,500074,300507,Dumbbell Set,2134.69,5
Used - Like New,Premium herbal tea sampler,200057,500097,300508,Herbal Tea Sampler,407.18,5
Refurbished,Stylish ceramic flower pot,200716,500030,300509,Ceramic Flower Pot,274.04,11
Used - Like New,Compact gaming monitor,200596,500007,300510,Gaming Monitor,4.33,6
Open Box,Lightweight workout leggings,200569,500239,300511,Workout Leggings,1243.78,13
Used - Very Good,Foldable laundry hamper,200299,500226,300512,Laundry Hamper,2119.91,17
Used - Acceptable,Advanced gaming headset,200720,500189,300513,Gaming Headset,1677.87,14
Refurbished,Heavy-duty pressure washer,200763,500292,300514,Pressure Washer,2899.39,3
New,Comfortable armchair,200403,500152,300515,Armchair,1225.08,4
Open Box,Sophisticated home decor set,200354,500119,300516,Home Decor Set,433.35,9
Pre-Owned,Portable air compressor,200228,500027,300517,Air Compressor,2455.74,6
Certified Refurbished,Premium hot sauce collection,200287,500100,300518,Hot Sauce Collection,2494.69,5
New,Durable bike repair kit,200510,500165,300519,Bike Repair Kit,2717.53,18
Open Box,Modern digital picture frame,200454,500003,300520,Digital Picture Frame,1850.72,20
Used - Good,Waterproof dry bag,200747,500226,300521,Dry Bag,586.83,5
Open Box,High-speed travel charger,200143,500146,300522,Travel Charger,2595.96,18
Used - Good,Minimalist bedside organizer,200720,500267,300523,Bedside Organizer,722.14,8
Refurbished,Lightweight portable canopy,200522,500098,300524,Portable Canopy,2440.26,12
Used - Good,Adjustable storage shelving,200594,500048,300525,Storage Shelving,1383.78,18
Certified Refurbished,Eco-friendly glass water bottle,200138,500156,300526,Glass Water Bottle,161.16,10
Pre-Owned,Sophisticated cocktail mixer,200702,500095,300527,Cocktail Mixer,431.13,8
Pre-Owned,Compact shoe rack,200443,500087,300528,Shoe Rack,2971.75,17
Used - Like New,Heavy-duty power washer,200371,500088,300529,Power Washer,1968.46,16
Open Box,Durable garden kneeler,200431,500177,300530,Garden Kneeler,910.98,3
Certified Refurbished,Stylish winter coat,200459,500173,300531,Winter Coat,168.31,4
New,High-quality leather wallet,200104,500050,300532,Leather Wallet,2257.37,9
Refurbished,Durable hiking backpack,200669,500243,300533,Hiking Backpack,1876.94,17
Used - Acceptable,Noise-cancelling headphones,200361,500026,300534,Noise-Cancelling Headphones,58.26,5
Open Box,Soft cotton T-shirt,200557,500053,300535,Cotton T-Shirt,921.68,13
New,Sleek stainless steel water bottle,200336,500159,300536,Stainless Steel Water Bottle,828.77,10
Refurbished,Compact Bluetooth speaker,200691,500028,300537,Bluetooth Speaker,1348.56,5
Used - Very Good,Lightweight travel suitcase,200523,500065,300538,Travel Suitcase,1795.21,4
Pre-Owned,Premium organic coffee beans,200607,500227,300539,Organic Coffee Beans,1614.99,14
Pre-Owned,Comfortable memory foam pillow,200196,500209,300540,Memory Foam Pillow,471.16,20
Pre-Owned,Stylish wooden sunglasses,200159,500151,300541,Wooden Sunglasses,1703.25,8
Refurbished,Portable power bank,200514,500127,300542,Portable Power Bank,2449.32,2
Certified Refurbished,Ultra-soft bath towel,200675,500081,300543,Bath Towel,1740.59,13
New,Elegant ceramic vase,200445,500255,300544,Ceramic Vase,1415.43,17
Used - Good,Adjustable laptop stand,200648,500194,300545,Laptop Stand,1999.98,4
Pre-Owned,Versatile chef’s knife,200581,500140,300546,Chef’s Knife,1256.99,18
Used - Very Good,Compact digital camera,200432,500207,300547,Digital Camera,1010.73,6
Used - Like New,Durable stainless steel frying pan,200344,500002,300548,Stainless Steel Frying Pan,33.41,13
Used - Acceptable,Eco-friendly bamboo toothbrush,200193,500119,300549,Bamboo Toothbrush,1969.63,17
New,High-performance gaming mouse,200601,500161,300550,Gaming Mouse,2922.56,2
Used - Acceptable,Ergonomic office chair,200261,500296,300551,Office Chair,1990.61,9
Used - Like New,Luxurious silk bedsheets,200250,500095,300552,Silk Bedsheets,2373.66,1
Used - Like New,Heavy-duty toolbox,200031,500079,300553,Toolbox,349.35,8
Used - Good,Rechargeable LED flashlight,200078,500001,300554,LED Flashlight,2989.53,15
Refurbished,Modern minimalist watch,200033,500011,300555,Minimalist Watch,952.44,8
Pre-Owned,Wireless charging pad,200153,500120,300556,Wireless Charging Pad,1337.36,18
Pre-Owned,Durable yoga mat,200271,500142,300557,Yoga Mat,139.84,15
Pre-Owned,Trendy canvas tote bag,200390,500254,300558,Canvas Tote Bag,1831.87,19
Pre-Owned,Waterproof fitness tracker,200006,500053,300559,Fitness Tracker,2211.59,10
Refurbished,High-speed external hard drive,200333,500146,300560,External Hard Drive,335.34,16
Open Box,Elegant wine decanter,200343,500235,300561,Wine Decanter,2750.47,8
Used - Acceptable,Advanced electric toothbrush,200747,500027,300562,Electric Toothbrush,2523.55,16
Refurbished,Energy-efficient LED bulb,200309,500197,300563,LED Bulb,60.90,3
Used - Acceptable,Double-walled coffee mug,200735,500012,300564,Coffee Mug,1362.49,5
Pre-Owned,Versatile air fryer,200002,500064,300565,Air Fryer,968.68,15
Pre-Owned,Adjustable dumbbells set,200678,500124,300566,Dumbbells,1110.97,1
Used - Acceptable,Classic analog wristwatch,200439,500212,300567,Analog Watch,1510.50,10
New,Multi-functional survival knife,200689,500115,300568,Survival Knife,2911.06,12
Used - Acceptable,Convenient portable grill,200794,500183,300569,Portable Grill,2340.14,19
New,Efficient vacuum cleaner,200396,500168,300570,Vacuum Cleaner,2094.32,12
Used - Like New,Compact first aid kit,200394,500199,300571,First Aid Kit,2495.04,14
Used - Very Good,High-definition action camera,200799,500232,300572,Action Camera,234.86,20
Used - Like New,Comfortable running shoes,200002,500253,300573,Running Shoes,1536.88,9
Certified Refurbished,Foldable camping chair,200651,500273,300574,Camping Chair,2935.73,6
Used - Acceptable,Noise-isolating earbuds,200439,500120,300575,Noise-Isolating Earbuds,52.32,19
Used - Very Good,Advanced smartwatch,200016,500029,300576,Smartwatch,2705.14,2
Used - Acceptable,Stylish leather journal,200039,500209,300577,Leather Journal,128.59,5
Used - Good,Durable travel mug,200269,500269,300578,Travel Mug,596.97,2
Open Box,Soft plush throw blanket,200748,500253,300579,Plush Throw Blanket,1398.14,2
Certified Refurbished,Elegant crystal chandelier,200340,500193,300580,Crystal Chandelier,1452.67,7
Used - Like New,Portable car jump starter,200740,500001,300581,Car Jump Starter,1022.41,19
Open Box,Heavy-duty garden hose,200716,500146,300582,Garden Hose,1999.71,13
Certified Refurbished,Adjustable desk lamp,200513,500103,300583,Desk Lamp,1419.38,4
Refurbished,Sophisticated perfume set,200134,500163,300584,Perfume Set,307.25,2
Pre-Owned,Waterproof phone case,200007,500284,300585,Phone Case,261.71,2
Used - Very Good,Ergonomic bike seat,200273,500211,300586,Bike Seat,1579.11,1
New,Minimalist wall clock,200015,500087,300587,Wall Clock,785.08,4
Pre-Owned,Anti-theft laptop backpack,200676,500069,300588,Laptop Backpack,1557.90,3
Used - Acceptable,Precision kitchen scale,200367,500032,300589,Kitchen Scale,606.54,12
Certified Refurbished,Premium wireless earbuds,200404,500127,300590,Wireless Earbuds,2238.69,18
Refurbished,High-speed blender,200502,500127,300591,Blender,817.66,10
Used - Like New,Versatile toolset,200723,500122,300592,Toolset,2467.03,5
Open Box,Multi-purpose folding table,200168,500081,300593,Folding Table,2403.09,17
Used - Acceptable,Adjustable standing desk,200483,500128,300594,Standing Desk,2069.59,13
New,Compact sewing machine,200105,500057,300595,Sewing Machine,1500.90,3
Open Box,Advanced hair straightener,200492,500048,300596,Hair Straightener,687.97,12
Used - Acceptable,Multi-functional printer,200180,500008,300597,Printer,2615.04,11
New,Rechargeable hand warmer,200794,500148,300598,Hand Warmer,2205.87,11
New,Collapsible pet carrier,200513,500258,300599,Pet Carrier,59.35,10
Certified Refurbished,Digital kitchen timer,200453,500067,300600,Kitchen Timer,1027.25,17
Used - Like New,Stainless steel kitchen tongs,200576,500264,300601,Kitchen Tongs,930.12,8
Used - Good,Lightweight sleeping bag,200087,500127,300602,Sleeping Bag,2972.88,19
Used - Very Good,Premium cast iron skillet,200127,500255,300603,Cast Iron Skillet,788.81,6
Used - Like New,Durable cargo pants,200235,500112,300604,Cargo Pants,2286.70,13
Used - Like New,Luxurious bathrobe,200625,500139,300605,Bathrobe,873.67,3
Pre-Owned,Travel-sized toiletries kit,200261,500280,300606,Toiletries Kit,2808.45,18
Pre-Owned,Heavy-duty bike lock,200439,500215,300607,Bike Lock,1417.03,4
New,Portable camping stove,200382,500001,300608,Camping Stove,2945.76,10
Refurbished,Advanced car vacuum cleaner,200508,500177,300609,Car Vacuum,605.11,16
New,Compact coffee grinder,200322,500223,300610,Coffee Grinder,907.10,1
Pre-Owned,Elegant tea set,200324,500195,300611,Tea Set,1718.20,9
Certified Refurbished,Modern smartphone stand,200107,500245,300612,Smartphone Stand,1967.64,9
Open Box,Reusable food storage bags,200717,500265,300613,Food Storage Bags,2159.66,11
Used - Very Good,Premium quality umbrella,200333,500237,300614,Umbrella,1002.75,12
New,Ultra-light hiking tent,200437,500038,300615,Hiking Tent,1733.01,16
Open Box,Stylish beach hat,200772,500174,300616,Beach Hat,638.48,4
Used - Good,Durable work gloves,200782,500289,300617,Work Gloves,1154.10,2
Used - Good,Advanced video doorbell,200479,500287,300618,Video Doorbell,1783.18,6
Certified Refurbished,Space-saving shoe organizer,200476,500023,300619,Shoe Organizer,2536.16,6
Used - Good,Portable electric kettle,200671,500106,300620,Electric Kettle,2326.95,10
Certified Refurbished,Soft sherpa fleece blanket,200510,500194,300621,Sherpa Fleece Blanket,337.65,8
Used - Good,Sophisticated whiskey glasses,200015,500165,300622,Whiskey Glasses,1524.00,10
Refurbished,Eco-friendly reusable straws,200545,500085,300623,Reusable Straws,2145.77,10
Used - Like New,Lightweight portable hammock,200598,500138,300624,Portable Hammock,2232.02,3
Open Box,Minimalist desk organizer,200620,500280,300625,Desk Organizer,911.03,16
Used - Good,Advanced robotic vacuum,200621,500225,300626,Robotic Vacuum,341.61,2
Open Box,Sturdy wall-mounted shelf,200466,500264,300627,Wall Shelf,2767.92,6
Open Box,Portable projector,200686,500117,300628,Portable Projector,528.15,19
Used - Like New,Soft travel neck pillow,200558,500066,300629,Travel Neck Pillow,636.42,5
Used - Good,Foldable picnic blanket,200668,500069,300630,Picnic Blanket,1230.78,3
Open Box,Digital meat thermometer,200390,500204,300631,Meat Thermometer,2854.03,18
Used - Like New,Rechargeable book light,200502,500159,300632,Book Light,1847.18,3
Used - Acceptable,Elegant leather handbag,200004,500265,300633,Leather Handbag,1502.07,7
Pre-Owned,Durable hiking boots,200712,500132,300634,Hiking Boots,1227.88,13
Pre-Owned,Comfortable wool socks,200002,500278,300635,Wool Socks,1025.42,4
Used - Acceptable,Stylish denim jacket,200019,500083,300636,Denim Jacket,2496.42,5
Used - Very Good,Compact photo printer,200063,500015,300637,Photo Printer,2779.28,7
New,Adjustable resistance bands,200400,500183,300638,Resistance Bands,1934.17,15
Used - Acceptable,Premium cotton duvet cover,200149,500067,300639,Cotton Duvet Cover,842.08,16
Refurbished,Versatile multi-tool,200281,500223,300640,Multi-Tool,72.97,10
Open Box,Modern floor lamp,200040,500113,300641,Floor Lamp,1491.03,12
Open Box,Luxurious cashmere scarf,200157,500009,300642,Cashmere Scarf,2130.30,4
New,Portable espresso machine,200239,500178,300643,Espresso Machine,2818.37,17
Open Box,Waterproof action camera,200069,500173,300644,Action Camera,1914.82,6
Refurbished,Compact air purifier,200768,500246,300645,Air Purifier,1655.76,19
Used - Good,Durable bike helmet,200474,500257,300646,Bike Helmet,539.91,6
Used - Acceptable,Soft bamboo sheets,200193,500072,300647,Bamboo Sheets,1495.84,2
Certified Refurbished,High-performance gym bag,200360,500292,300648,Gym Bag,2681.08,11
Pre-Owned,Advanced hair dryer,200642,500036,300649,Hair Dryer,2437.05,8
Open Box,Energy-efficient space heater,200673,500024,300650,Space Heater,546.61,5
Certified Refurbished,Sophisticated cocktail shaker,200144,500180,300651,Cocktail Shaker,826.97,15
Used - Like New,Eco-friendly laundry detergent,200348,500088,300652,Laundry Detergent,2530.18,2
Open Box,Durable BBQ grill cover,200684,500185,300653,BBQ Grill Cover,1141.43,18
Open Box,Compact spice rack,200093,500260,300654,Spice Rack,311.59,1
Used - Good,Stylish patio furniture,200043,500296,300655,Patio Furniture,238.67,14
Used - Acceptable,Premium soundbar speaker,200538,500017,300656,Soundbar,2225.78,12
Certified Refurbished,Advanced pet grooming kit,200258,500171,300657,Pet Grooming Kit,2175.95,12
Used - Good,High-quality baby stroller,200561,500132,300658,Baby Stroller,1939.65,7
Used - Acceptable,Elegant dining table set,200615,500145,300659,Dining Table Set,972.66,14
Open Box,Soft organic baby blanket,200511,500061,300660,Baby Blanket,569.47,8
Certified Refurbished,Lightweight power drill,200171,500183,300661,Power Drill,2820.57,11
Used - Like New,Heavy-duty dog leash,200228,500203,300662,Dog Leash,2737.98,16
Open Box,Minimalist table clock,200027,500148,300663,Table Clock,85.64,13
Refurbished,Advanced gaming keyboard,200589,500096,300664,Gaming Keyboard,1618.31,5
Pre-Owned,Foldable treadmill,200737,500084,300665,Treadmill,2025.90,10
Refurbished,Multi-functional waffle maker,200296,500042,300666,Waffle Maker,2597.24,13
Used - Good,Premium travel pillow,200798,500149,300667,Travel Pillow,750.02,16
Pre-Owned,Durable outdoor jacket,200799,500251,300668,Outdoor Jacket,82.97,17
Used - Acceptable,Adjustable TV wall mount,200357,500189,300669,TV Wall Mount,1149.33,13
Used - Good,Waterproof travel bag,200325,500254,300670,Travel Bag,107.46,1
Used - Acceptable,High-speed internet router,200799,500098,300671,Internet Router,865.78,4
Refurbished,Space-saving closet organizer,200227,500255,300672,Closet Organizer,1258.11,19
Refurbished,Advanced sewing kit,200791,500276,300673,Sewing Kit,2637.39,11
Refurbished,Modern ergonomic sofa,200625,500237,300674,Ergonomic Sofa,861.64,9
Certified Refurbished,Luxurious showerhead,200718,500069,300675,Showerhead,222.33,15
